"Nombre_plataforma","Nombre","id","latitud","longitud","linea_1","linea_2","linea_3","orden_linea_1","orden_linea_2","orden_linea_3","orden_linea_1_subida","orden_linea_1_bajada","orden_linea_2_subida","orden_linea_2_bajada","orden_linea_3_subida","orden_linea_3_bajada","sentido","L1_horario_1er_servicio_D","L1_horario_1er_servicio_L_V","L1_horario_1er_servicio_S","L2_horario_1er_servicio_D","L2_horario_1er_servicio_L_V","L2_horario_1er_servicio_S","L3_horario_1er_servicio_D","L3_horario_1er_servicio_L_V","L3_horario_1er_servicio_S"
"Ciudad Deportiva_subida","Ciudad Deportiva",36,40.0422594,-6.0883542,0,1,0,NA,15,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"10:00:00","08:00:00","07:50:00",NA,NA,NA
"Dolores Ibárruri_bajada","Dolores Ibárruri",51,40.047711,-6.065183,1,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,0,"07:28:00","07:28:00","07:28:00",NA,NA,NA,NA,NA,NA
"Cruz Roja_subida","Cruz Roja",50,40.0413574,-6.09002641,0,1,0,NA,14,24,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"09:59:00","07:59:00","07:49:00","07:43:00","07:38:00","08:23:00"
"Cristo de las Batallas_subida","Cristo de las Batallas",48,40.031307,-6.085575,1,1,0,12,5,NA,NA,NA,NA,NA,NA,NA,1,"07:46:00","07:46:00","07:46:00","09:47:00","07:47:00","07:37:00",NA,NA,NA
"Correos_subida","Correos",46,40.0295228,-6.0872571,1,1,1,11,4,9,NA,NA,NA,NA,NA,NA,1,"07:45:00","07:45:00","07:45:00","09:43:00","07:43:00","07:33:00","07:29:00","07:24:00","08:09:00"
"Cruz Roja_bajada","Cruz Roja",49,40.0411505,-6.0906157,0,1,0,NA,4,4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"10:08:00","08:08:00","07:58:00","07:41:00","07:36:00","08:21:00"
"Centro salud La Data_subida","Centro salud La Data",34,40.0395779,-6.0803836,0,0,1,NA,NA,15,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"07:35:00","07:30:00","08:15:00"
"Colegio Josefinas_subida","Colegio Josefinas",40,40.0424103,-6.083177,1,0,0,19,NA,NA,NA,NA,NA,NA,NA,NA,1,"07:54:00","07:54:00","07:54:00",NA,NA,NA,NA,NA,NA
"Colonia Guadalupe_subida","Colonia Guadalupe",43,40.018668,-6.100633,1,0,1,5,NA,3,NA,NA,NA,NA,NA,NA,1,"07:35:00","07:35:00","07:35:00",NA,NA,NA,"07:23:00","07:18:00","08:03:00"
"Colonia Guadalupe_bajada","Colonia Guadalupe",44,40.01825,-6.101278,1,0,1,26,NA,25,NA,NA,NA,NA,NA,NA,0,"07:54:00","07:54:00","07:54:00",NA,NA,NA,"08:14:00","08:09:00","08:54:00"
"Colegio La Paz_bajada","Colegio La Paz",41,40.0433846,-6.0783291,1,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,0,"07:37:00","07:37:00","07:37:00",NA,NA,NA,NA,NA,NA
"Edificio Múltiples_bajada","Edificio Múltiples",52,40.042509,-6.071694,1,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,0,"07:31:00","07:31:00","07:31:00",NA,NA,NA,NA,NA,NA
"Cristo de las Batallas_bajada","Cristo de las Batallas",47,40.0317768,-6.0854811,1,1,0,19,13,NA,NA,NA,NA,NA,NA,NA,0,"07:47:00","07:47:00","07:47:00","10:17:00","08:17:00","08:07:00",NA,NA,NA
"Estación de tren","Estación de tren",55,40.022698,-6.098901,0,1,0,NA,NA,NA,NA,NA,0,23,NA,NA,2,NA,NA,NA,"09:35:00","07:35:00","07:25:00","07:32:00","07:27:00","08:12:00"
"Colegio La Paz_subida","Colegio La Paz",42,40.0433886,-6.0782099,1,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,1,"07:56:00","07:56:00","07:56:00",NA,NA,NA,NA,NA,NA
"Factoría Joven_bajada","Factoría Joven",56,40.0443062,-6.0928811,0,0,1,NA,NA,3,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"09:35:00","07:35:00","07:25:00","07:51:00","07:46:00","08:31:00"
"Glorieta Cigüeñas_subida","Glorieta Cigüeñas",62,40.0164172,-6.1030956,1,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,1,"08:06:00","08:06:00","08:06:00",NA,NA,NA,NA,NA,NA
"Félix R. de la Fuente_bajada","Félix R. de la Fuente",58,40.046166,-6.086246,0,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"07:49:00","07:44:00","08:29:00"
"Estación autobuses_bajada","Estación autobuses",53,40.0328583,-6.0808015,0,0,1,NA,NA,17,NA,NA,NA,NA,NA,NA,0,"07:31:00","07:31:00","07:31:00",NA,NA,NA,"08:04:00","07:59:00","08:44:00"
"Factoría Joven_subida","Factoría Joven",57,40.0443794,-6.0926069,0,0,1,NA,NA,25,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"07:42:00","07:37:00","08:22:00"
"Guardería La Data_subida","Guardería La Data",64,40.0430845,-6.0770279,1,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA,1,"07:57:00","07:57:00","07:57:00",NA,NA,NA,NA,NA,NA
"Gabriel y Galán 1_bajada","Gabriel y Galán 1",59,40.0463345,-6.0698177,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,"07:25:00","07:25:00","07:25:00",NA,NA,NA,NA,NA,NA
"Glorieta Cigüeñas_bajada","Glorieta Cigüeñas",61,40.0164172,-6.1030956,1,0,0,27,NA,NA,NA,NA,NA,NA,NA,NA,0,"07:55:00","07:55:00","07:55:00",NA,NA,NA,NA,NA,NA
"IES Gabriel y Galán_bajada","IES Gabriel y Galán",67,40.03936,-6.0824536,1,0,1,15,NA,13,NA,NA,NA,NA,NA,NA,0,"07:43:00","07:43:00","07:43:00",NA,NA,NA,"08:00:00","07:55:00","08:40:00"
"Estación de autobuses_subida","Estación de autobuses",54,40.0327842,-6.0807866,0,0,1,NA,NA,12,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"07:32:00","07:27:00","08:12:00"
"IES Parque Monfragüe_bajada","IES Parque Monfragüe",69,40.0391464,-6.0889447,0,0,1,NA,NA,10,NA,NA,NA,NA,NA,NA,0,"08:20:00","08:20:00","08:20:00",NA,NA,NA,"07:56:00","07:51:00","08:36:00"
"Hospital","Hospital",66,40.0490084,-6.0854108,0,1,1,NA,NA,NA,NA,NA,19,0,30,0,2,"08:02:00","08:02:00","08:02:00","10:04:00","08:04:00","07:54:00","07:47:00","07:42:00","08:27:00"
"IES Pérez Comendador_bajada","IES Pérez Comendador",71,40.041781,-6.085046,1,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,0,"07:41:00","07:41:00","07:41:00",NA,NA,NA,NA,NA,NA
"Guardería La Data_bajada","Guardería La Data",63,40.043353,-6.076665,1,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,0,"07:36:00","07:36:00","07:36:00",NA,NA,NA,NA,NA,NA
"IES Parque Monfragüe_subida","IES Parque Monfragüe",70,40.0392958,-6.0889224,0,0,1,NA,NA,19,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"07:39:00","07:34:00","08:19:00"
"IES Gabriel y Galán_subida","IES Gabriel y Galán",68,40.0396344,-6.0824092,1,0,1,16,NA,16,NA,NA,NA,NA,NA,NA,1,"07:51:00","07:51:00","07:51:00",NA,NA,NA,"07:36:00","07:31:00","08:16:00"
"IES Pérez Comendador_subida","IES Pérez Comendador",72,40.04197,-6.0847601,1,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,1,"07:53:00","07:53:00","07:53:00",NA,NA,NA,NA,NA,NA
